Time,INPUT PID,OUTPUT PID,ERROR,ERROR INTEGRAL,ERROR DERIVATIVO
242,10.000101,50.000576,-0.000101,-24.997274,0.000004
243,10.000097,50.000542,-0.000097,-24.997372,0.000004
244,10.000093,50.000500,-0.000093,-24.997465,0.000004
245,10.000091,50.000515,-0.000091,-24.997555,0.000003
246,10.000088,50.000519,-0.000088,-24.997643,0.000003
247,10.000085,50.000515,-0.000085,-24.997726,0.000003
248,10.000082,50.000507,-0.000082,-24.997808,0.000003
249,10.000079,50.000492,-0.000079,-24.997887,0.000003
250,10.000076,50.000473,-0.000076,-24.997963,0.000003
251,10.000073,50.000446,-0.000073,-24.998035,0.000003
252,10.000071,50.000416,-0.000071,-24.998106,0.000003
253,10.000068,50.000378,-0.000068,-24.998173,0.000003
254,10.000065,50.000336,-0.000065,-24.998238,0.000003
255,10.000063,50.000355,-0.000063,-24.998301,0.000002
256,10.000061,50.000366,-0.000061,-24.998362,0.000002
257,10.000059,50.000370,-0.000059,-24.998421,0.000002
258,10.000057,50.000370,-0.000057,-24.998478,0.000002
259,10.000055,50.000366,-0.000055,-24.998533,0.000002
260,10.000053,50.000359,-0.000053,-24.998587,0.000002
261,10.000051,50.000347,-0.000051,-24.998638,0.000002
262,10.000050,50.000332,-0.000050,-24.998688,0.000002
263,10.000048,50.000313,-0.000048,-24.998735,0.000002
264,10.000046,50.000290,-0.000046,-24.998781,0.000002
265,10.000044,50.000263,-0.000044,-24.998825,0.000002
266,10.000042,50.000233,-0.000042,-24.998867,0.000002
267,10.000040,50.000198,-0.000040,-24.998907,0.000002
268,10.000039,50.000229,-0.000039,-24.998947,0.000001
269,10.000038,50.000248,-0.000038,-24.998985,0.000001
270,10.000036,50.000202,-0.000036,-24.999022,0.000002
271,10.000035,50.000221,-0.000035,-24.999058,0.000001
272,10.000034,50.000233,-0.000034,-24.999092,0.000001
273,10.000033,50.000244,-0.000033,-24.999126,0.000001
274,10.000032,50.000252,-0.000032,-24.999159,0.000001
275,10.000031,50.000259,-0.000031,-24.999191,0.000001
276,10.000031,50.000263,-0.000031,-24.999222,0.000001
277,10.000030,50.000267,-0.000030,-24.999252,0.000001
278,10.000029,50.000267,-0.000029,-24.999281,0.000001
279,10.000028,50.000267,-0.000028,-24.999310,0.000001
280,10.000027,50.000263,-0.000027,-24.999336,0.000001
281,10.000026,50.000259,-0.000026,-24.999363,0.000001
282,10.000025,50.000252,-0.000025,-24.999388,0.000001
283,10.000024,50.000244,-0.000024,-24.999413,0.000001
284,10.000023,50.000237,-0.000023,-24.999435,0.000001
285,10.000022,50.000221,-0.000022,-24.999458,0.000001
286,10.000021,50.000206,-0.000021,-24.999479,0.000001
287,10.000020,50.000191,-0.000020,-24.999500,0.000001
288,10.000019,50.000175,-0.000019,-24.999519,0.000001
289,10.000018,50.000153,-0.000018,-24.999538,0.000001
290,10.000017,50.000130,-0.000017,-24.999556,0.000001
291,10.000016,50.000107,-0.000016,-24.999573,0.000001
292,10.000015,50.000084,-0.000015,-24.999588,0.000001
293,10.000014,50.000053,-0.000014,-24.999603,0.000001
294,10.000014,50.000092,-0.000014,-24.999619,0.000000
295,10.000013,50.000057,-0.000013,-24.999632,0.000001
296,10.000013,50.000088,-0.000013,-24.999645,0.000000
297,10.000012,50.000050,-0.000012,-24.999657,0.000001
298,10.000012,50.000076,-0.000012,-24.999668,0.000000
299,10.000012,50.000103,-0.000012,-24.999680,0.000000
300,10.000011,50.000061,-0.000011,-24.999691,0.000001
301,10.000011,50.000088,-0.000011,-24.999702,0.000000
302,10.000010,50.000050,-0.000010,-24.999714,0.000001
303,10.000010,50.000076,-0.000010,-24.999725,0.000000
304,10.000010,50.000103,-0.000010,-24.999737,0.000000
305,10.000010,50.000057,-0.000010,-24.999746,0.000001
306,10.000010,50.000080,-0.000010,-24.999756,0.000000
307,10.000010,50.000103,-0.000010,-24.999765,0.000000
308,10.000009,50.000057,-0.000009,-24.999775,0.000001
309,10.000009,50.000076,-0.000009,-24.999783,0.000000
310,10.000009,50.000095,-0.000009,-24.999790,0.000000
311,10.000009,50.000111,-0.000009,-24.999798,0.000000
312,10.000008,50.000061,-0.000008,-24.999805,0.000001
313,10.000008,50.000080,-0.000008,-24.999813,0.000000
314,10.000008,50.000099,-0.000008,-24.999821,0.000000
315,10.000008,50.000114,-0.000008,-24.999828,0.000000
316,10.000007,50.000065,-0.000007,-24.999836,0.000001
317,10.000007,50.000084,-0.000007,-24.999844,0.000000
318,10.000007,50.000103,-0.000007,-24.999851,0.000000
319,10.000007,50.000118,-0.000007,-24.999859,0.000000
320,10.000006,50.000065,-0.000006,-24.999865,0.000001
321,10.000006,50.000080,-0.000006,-24.999870,0.000000
322,10.000006,50.000095,-0.000006,-24.999876,0.000000
323,10.000006,50.000107,-0.000006,-24.999882,0.000000
324,10.000006,50.000118,-0.000006,-24.999887,0.000000
325,10.000005,50.000065,-0.000005,-24.999893,0.000001
326,10.000005,50.000076,-0.000005,-24.999897,0.000000
327,10.000005,50.000088,-0.000005,-24.999901,0.000000
328,10.000005,50.000095,-0.000005,-24.999905,0.000000
329,10.000005,50.000103,-0.000005,-24.999908,0.000000
330,10.000005,50.000111,-0.000005,-24.999912,0.000000
331,10.000005,50.000118,-0.000005,-24.999916,0.000000
332,10.000004,50.000061,-0.000004,-24.999920,0.000001
333,10.000004,50.000072,-0.000004,-24.999924,0.000000
334,10.000004,50.000084,-0.000004,-24.999928,0.000000
335,10.000004,50.000092,-0.000004,-24.999931,0.000000
336,10.000004,50.000099,-0.000004,-24.999935,0.000000
337,10.000004,50.000107,-0.000004,-24.999939,0.000000
338,10.000004,50.000114,-0.000004,-24.999943,0.000000
339,10.000004,50.000122,-0.000004,-24.999947,0.000000
340,10.000004,50.000130,-0.000004,-24.999950,0.000000
341,10.000003,50.000072,-0.000003,-24.999954,0.000001
342,10.000003,50.000084,-0.000003,-24.999958,0.000000
343,10.000003,50.000095,-0.000003,-24.999962,0.000000
344,10.000003,50.000103,-0.000003,-24.999966,0.000000
345,10.000003,50.000111,-0.000003,-24.999969,0.000000
346,10.000003,50.000118,-0.000003,-24.999973,0.000000
347,10.000003,50.000126,-0.000003,-24.999977,0.000000
348,10.000002,50.000065,-0.000002,-24.999979,0.000001
349,10.000002,50.000072,-0.000002,-24.999981,0.000000
350,10.000002,50.000080,-0.000002,-24.999983,0.000000
351,10.000002,50.000084,-0.000002,-24.999985,0.000000
352,10.000002,50.000088,-0.000002,-24.999987,0.000000
353,10.000002,50.000092,-0.000002,-24.999989,0.000000
354,10.000002,50.000095,-0.000002,-24.999990,0.000000
355,10.000002,50.000099,-0.000002,-24.999992,0.000000
356,10.000002,50.000103,-0.000002,-24.999994,0.000000
357,10.000002,50.000107,-0.000002,-24.999996,0.000000
358,10.000002,50.000111,-0.000002,-24.999998,0.000000
359,10.000002,50.000114,-0.000002,-25.000000,0.000000
360,10.000002,50.000118,-0.000002,-25.000002,0.000000
361,10.000002,50.000122,-0.000002,-25.000004,0.000000
362,10.000002,50.000126,-0.000002,-25.000006,0.000000
363,10.000002,50.000130,-0.000002,-25.000008,0.000000
364,10.000002,50.000134,-0.000002,-25.000010,0.000000
365,10.000002,50.000137,-0.000002,-25.000011,0.000000
366,10.000001,50.000072,-0.000001,-25.000011,0.000001
367,10.000001,50.000076,-0.000001,-25.000011,0.000000
368,10.000001,50.000080,-0.000001,-25.000011,0.000000
369,10.000001,50.000080,-0.000001,-25.000011,0.000000
370,10.000001,50.000080,-0.000001,-25.000011,0.000000
371,10.000001,50.000080,-0.000001,-25.000011,0.000000
372,10.000001,50.000080,-0.000001,-25.000011,0.000000
373,10.000001,50.000080,-0.000001,-25.000011,0.000000
374,10.000001,50.000080,-0.000001,-25.000011,0.000000
375,10.000001,50.000080,-0.000001,-25.000011,0.000000
